## **********************************************************
## Configuration
## **********************************************************
## labels: %name%
# labels: {"label1" : "%name%", "label2" : "%type%: %name%", "label3" : "%name% - %version% - %model%"}
# labelname: labeltype
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#034f84;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from": "refs", "to": "id", "style": "curved=0;endArrow=none;endFill=0;fontSize=11;"}
# width: auto
# height: auto
# padding: 40
# ignore: refs
# nodespacing: 60
# levelspacing: 100
# edgespacing: 40
# layout: verticaltree
## **********************************************************
## CSV Data
## **********************************************************
id,refs,type,name,model,version,labeltype
1,"",vCenterServer,vCSA010,Appliance,"",label1
11,1,Cluster,Linux,"","",label2
111,11,Model,ProLiant XL170r Gen9,"","",label1
1111,111,PhysicalLocation,Nord,"","",label2
1112,111,PhysicalLocation,West,"","",label2
12,1,Cluster,Transfer,"","",label2
121,12,Model,XH620 V3,"","",label1
1211,121,PhysicalLocation,West,"","",label2
13,1,Cluster,Windows,"","",label2
131,13,Model,ProLiant XL170r Gen9,"","",label1
1311,131,PhysicalLocation,Nord,"","",label2
1312,131,PhysicalLocation,West,"","",label2
132,13,Model,Synergy 480 Gen10,"","",label1
1321,132,PhysicalLocation,Nord,"","",label2
1322,132,PhysicalLocation,West,"","",label2

2,"",vCenterServer,vCSA020,Appliance,"",label1
21,2,Cluster,Oracle,"","",label2
211,21,Model,ProLiant DL380 Gen10,"","",label1
2111,211,PhysicalLocation,Nord,"","",label2
2112,211,PhysicalLocation,Ost,"","",label2
2113,211,PhysicalLocation,West,"","",label2

3,"",vCenterServer,vCSA021,Appliance,"",label1
31,3,Cluster,Oracle,"","",label2
311,31,Model,ProLiant DL380 Gen10,"","",label1
3111,311,PhysicalLocation,Nord,"","",label2
3112,311,PhysicalLocation,Ost,"","",label2

4,"",vCenterServer,vCSA100,Appliance,"",label1
41,4,Cluster,Linux,"","",label2
411,41,Model,Synergy 480 Gen10,"","",label1
4111,411,PhysicalLocation,Nord,"","",label2
4112,411,PhysicalLocation,Ost,"","",label2
42,4,Cluster,Windows,"","",label2
421,42,Model,ProLiant DL380 Gen9,"","",label1
4211,421,PhysicalLocation,Nord,"","",label2
4212,421,PhysicalLocation,Ost,"","",label2
