"HostName";"Version";"Build";"Manufacturer";"Model";"vCenterServer";"SerialNumber";"Cluster";"ClusterNotes";"BootTime";"PowerState";"ConnectionState";"IpAddress";"SubnetMask";"DefaultGateway";"vMotionIPv4Address";"vMotionSubnetMask";"DnsServer";"SearchDomain";"MacAddress";"PhysicalLocation";"Notes";"VMs"
"esxi581.tinu.classic.ch";"7.0.3";"20842708";"HP";"ProLiant DL380 Gen9";"vcsa010.tinu.classic.ch";"CZJ5020882";"Temp4PatchingGen9";"";"2023-03-24 20:27:50";"PoweredOn";"Maintenance";"172.19.226.91";"255.255.255.0";"172.19.226.1";;;"172.19.213.15,172.19.213.21";"tinu.classic.ch";"c4:34:6b:b8:f2:48";"DCEN";"";
"esxi582.tinu.classic.ch";"7.0.3";"20842708";"HP";"ProLiant DL380 Gen9";"vcsa010.tinu.classic.ch";"CZJ5020881";"Temp4PatchingGen9";"";"2023-03-24 18:19:10";"PoweredOn";"Maintenance";"172.19.226.92";"255.255.255.0";"172.19.226.1";;;"172.19.213.15,172.19.213.21";"tinu.classic.ch";"c4:34:6b:b7:5e:f4";"DCSG";"";
"esxi509.tinu.classic.ch";"7.0.3";"20842708";"HP";"ProLiant BL460c Gen9";"vcsa010.tinu.classic.ch";"CZ3516VSE1";"Temp4PatchingGen9";"";"2023-04-12 12:24:31";"PoweredOn";"Maintenance";"172.19.226.19";"255.255.255.0";"172.19.226.1";;;"172.19.213.15,172.19.213.21";"tinu.classic.ch";"8c:dc:d4:1a:99:a0";"DCEN";"";
"esxi505.tinu.classic.ch";"7.0.3";"20842708";"HP";"ProLiant BL460c Gen9";"vcsa010.tinu.classic.ch";"CZ3516VSE3";"Temp4PatchingGen9";"";"2023-04-12 11:25:42";"PoweredOn";"Maintenance";"172.19.226.15";"255.255.255.0";"172.19.226.1";;;"172.19.213.15,172.19.213.21";"tinu.classic.ch";"8c:dc:d4:1a:a4:90";"DCEN";"";
"esxi501.tinu.classic.ch";"7.0.3";"20842708";"HP";"ProLiant BL460c Gen9";"vcsa010.tinu.classic.ch";"CZ3516VSDR";"Temp4PatchingGen9";"";"2023-04-12 14:41:22";"PoweredOn";"Maintenance";"172.19.226.11";"255.255.255.0";"172.19.226.1";;;"172.19.213.15,172.19.213.21";"tinu.classic.ch";"8c:dc:d4:1a:99:00";"DCEN";"";
"esxi7003.tinu.classic.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa010.tinu.classic.ch";"VCGVY9Y043";"s3xx701p-lnx";"";"2023-08-02 06:10:28";"StandBy";"NotResponding";"172.19.226.133";"255.255.255.0";;"192.168.22.133";"255.255.255.0";"172.19.213.15,172.19.213.21";"tinu.classic.ch";"4a:4c:bf:e0:00:f4";"DCEN";"";
"esxi7002.tinu.classic.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa010.tinu.classic.ch";"VCGVY9Y042";"s3xx701p-lnx";"";"2023-02-07 10:18:20";"PoweredOn";"Connected";"172.19.226.132";"255.255.255.0";;"192.168.22.132";"255.255.255.0";"172.19.213.15,172.19.213.21";"tinu.classic.ch";"4a:4c:bf:e0:00:f0";"DCEN";"";"38"
"esxi7006.tinu.classic.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa010.tinu.classic.ch";"VCGVY9Y046";"s3xx701p-lnx";"";"2023-08-07 06:02:34";"PoweredOn";"Connected";"172.19.226.136";"255.255.255.0";;"192.168.22.136";"255.255.255.0";"172.19.213.15,172.19.213.21";"tinu.classic.ch";"4a:4c:bf:e0:01:00";"DCEN";"";"39"
"esxi9001.tinu.classic.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa010.tinu.classic.ch";"VCGZ7LH03N";"s3xx701p-lnx";"";"2023-06-05 12:32:31";"PoweredOn";"Connected";"172.19.226.151";"255.255.255.0";;"192.168.22.151";"255.255.255.0";"172.19.213.15,172.19.213.21";"tinu.classic.ch";"26:ca:41:70:01:78";"DCSG";"";"18"
"esxi9003.tinu.classic.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa010.tinu.classic.ch";"VCGZ7LH03V";"s3xx701p-lnx";"";"2023-07-06 06:16:59";"StandBy";"NotResponding";"172.19.226.153";"255.255.255.0";;"192.168.22.153";"255.255.255.0";"172.19.213.15,172.19.213.21";"tinu.classic.ch";"26:ca:41:70:01:98";"DCSG";"";
"esxi7005.tinu.classic.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa010.tinu.classic.ch";"VCGVY9Y045";"s3xx701p-lnx";"";"2023-08-03 06:15:29";"PoweredOn";"Connected";"172.19.226.135";"255.255.255.0";;"192.168.22.135";"255.255.255.0";"172.19.213.15,172.19.213.21";"tinu.classic.ch";"4a:4c:bf:e0:00:fc";"DCEN";"";"20"
"esxi9004.tinu.classic.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa010.tinu.classic.ch";"VCGZ7LH03X";"s3xx701p-lnx";"";"2023-03-21 08:25:12";"PoweredOn";"Connected";"172.19.226.154";"255.255.255.0";;"192.168.22.154";"255.255.255.0";"172.19.213.15,172.19.213.21";"tinu.classic.ch";"26:ca:41:70:01:a0";"DCSG";"";"36"
"esxi9005.tinu.classic.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa010.tinu.classic.ch";"VCGZ7LH03Y";"s3xx701p-lnx";"";"2023-03-14 09:22:06";"PoweredOn";"Connected";"172.19.226.155";"255.255.255.0";;"192.168.22.155";"255.255.255.0";"172.19.213.15,172.19.213.21";"tinu.classic.ch";"26:ca:41:70:01:a4";"DCSG";"";"28"
