"HostName";"Version";"Build";"Manufacturer";"Model";"vCenterServer";"SerialNumber";"Cluster";"ClusterNotes";"BootTime";"PowerState";"ConnectionState";"IpAddress";"SubnetMask";"DefaultGateway";"vMotionIPv4Address";"vMotionSubnetMask";"DnsServer";"SearchDomain";"MacAddress";"PhysicalLocation";"Notes";"VMs"
"esxi6998.tinu.cloud.ch";"7.0.3";"20842708";"HP";"ProLiant DL380 Gen9";"vcsa0100.tinu.cloud.ch";"CZJ5460BPF";"c8tn6989";"";"2023-04-27 00:27:53";"PoweredOn";"Connected";"10.95.0.98";"255.255.255.0";"10.95.0.1";;;"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:57:a5:5b:c3:f8";"DCGA";"";"3"
"esxi9911.tinu.cloud.ch";"6.7.0";"17700523";"HPE";"ProLiant DL380 Gen10";"vcsa0021.tinu.cloud.ch";"CZ202001ZS";"OracleDB";"";"2021-08-24 19:23:22";"PoweredOn";"Connected";"10.90.20.211";"255.255.255.0";"10.90.20.1";"192.168.20.211";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:40:c9:f4:f6:2f";"DCSG";"rfuellem, vmnic0. Inc 7641112, 2023-07-06";"1"
"esxi6999.tinu.cloud.ch";"7.0.3";"20842708";"HP";"ProLiant DL380 Gen9";"vcsa0100.tinu.cloud.ch";"CZJ5460BPG";"c8tn6989";"";"2023-04-26 15:50:19";"PoweredOn";"Connected";"10.95.0.99";"255.255.255.0";"10.95.0.1";;;"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"94:57:a5:5b:b5:18";"DCGA";"";"1"
"esxi6912.tinu.cloud.ch";"6.7.0";"17167734";"HPE";"ProLiant DL380 Gen10";"vcsa0021.tinu.cloud.ch";"CZ203506W4";"OracleDB";"";"2020-11-24 19:39:28";"PoweredOn";"Connected";"10.90.20.112";"255.255.255.0";"10.90.20.1";"192.168.20.112";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"b4:7a:f1:36:e0:42";"DCGA";"";"4"
"esxi6002.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0100.tinu.cloud.ch";"VCGG2M702T";"c4tn9060";"Core";"2023-06-16 08:16:20";"PoweredOn";"Connected";"10.90.25.12";"255.255.254.0";;"192.168.60.12";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:d5";"DCGA";"";"3"
"esxi9002.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0100.tinu.cloud.ch";"VCGZ7LH047";"c4tn9060";"Core";"2023-06-06 13:33:46";"PoweredOn";"Connected";"10.90.25.112";"255.255.254.0";;"192.168.60.112";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:c9";"DCSG";"";"7"
"esxi9001.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0100.tinu.cloud.ch";"VCGZ7LH048";"c4tn9060";"Core";"2023-05-12 14:42:57";"PoweredOn";"Connected";"10.90.25.111";"255.255.254.0";;"192.168.60.111";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:cd";"DCSG";"";"16"
"esxi6001.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0100.tinu.cloud.ch";"VCGG2M702S";"c4tn9060";"Core";"2023-06-16 07:51:39";"PoweredOn";"Connected";"10.90.25.11";"255.255.254.0";;"192.168.60.11";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:d1";"DCGA";"";"14"
"esxi6051.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0100.tinu.cloud.ch";"VCGG2M701X";"c4tn9070";"DMZ";"2023-03-21 16:57:55";"PoweredOn";"Connected";"10.90.24.51";"255.255.254.0";;"192.168.70.51";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"ea:95:a5:a0:00:91";"DCGA";"";"15"
"esxi9052.tinu.cloud.ch";"7.0.3";"20842708";"HPE";"Synergy 480 Gen10";"vcsa0100.tinu.cloud.ch";"VCGZ7LH030";"c4tn9070";"DMZ";"2023-03-21 22:59:30";"PoweredOn";"Connected";"10.90.24.152";"255.255.254.0";;"192.168.70.152";"255.255.255.0";"10.90.0.12,10.90.0.11";"tinu.cloud.ch";"26:ca:41:70:01:21";"DCSG";"";"12"
