## **********************************************************
## Configuration
## **********************************************************
# labels: {"label1" : "%name%", "label2" : "%type%: %name%", "label3" : "%name% - %version%<br>%model%"}
# labelname: labeltype
# style: shape=%shape%;whiteSpace=wrap;html=1;rounded=1;childLayout=stackLayout;horizontal=1;horizontalStack=0;resizeParent=1;resizeLast=0;fillColor=%fill%;opacity=80;
# namespace: csvimport-
# connect: {"from": "refs", "to": "id", "style": "curved=0;endArrow=none;endFill=0;fontSize=11;"}
# width: 160
# height: auto
# padding: 40
# ignore: refs,shape,labeltype,fill
# nodespacing: 40
# levelspacing: 40
# edgespacing: 40
## layout from https://jgraph.github.io/mxgraph/docs/js-api/files/layout/mxFastOrganicLayout-js.html
## layout: auto
## layout: [{"layout":"mxHierarchicalLayout","config":{"orientation":"south"}}]
# layout: [{"layout":"mxFastOrganicLayout","config":{"orientation":"south"}}]
## **********************************************************
## CSV Data
## **********************************************************
id,refs,type,name,model,version,labeltype,fill,shape
1,"",vCenterServer,VC1_vCSA010,Appliance,"",label1,#198754,entity
11,1,Cluster,VC1C1_Linux,"","",label1,#ef2539,entity
111,11,Model,VC1C1_ProLiant XL170r Gen9,"","",label1,#343a40,entity
1111,111,PhysicalLocation,VC1C1_Nord,"","",label1,#FA6800,entity
11111,1111,ESXiHost,"+ ESXi8201",ProLiant XL170r Gen9,6.5,label3,#0050EF,entity
11112,1111,ESXiHost,"+ ESXi8202",ProLiant XL170r Gen9,6.5,label3,#0050EF,entity
1112,111,PhysicalLocation,VC1C1_West,"","",label1,#FA6800,entity
11121,1112,ESXiHost,"+ ESXi1201",ProLiant XL170r Gen9,6.5,label3,#0050EF,entity
11122,1112,ESXiHost,"+ ESXi1202",ProLiant XL170r Gen9,6.5,label3,#0050EF,entity
12,1,Cluster,VC1C2_Transfer,"","",label1,#ef2539,entity
121,12,Model,VC1C2_XH620 V3,"","",label1,#343a40,entity
1211,121,PhysicalLocation,VC1C2_West,"","",label1,#FA6800,entity
12111,1211,ESXiHost,"+ ESXi1994",XH620 V3,6.7,label3,#0050EF,entity
13,1,Cluster,VC1C3_Windows,"","",label1,#ef2539,entity
131,13,Model,VC1C3_ProLiant XL170r Gen9,"","",label1,#343a40,entity
1311,131,PhysicalLocation,VC1C3_Nord,"","",label1,#FA6800,entity
13111,1311,ESXiHost,"+ ESXi8220",ProLiant XL170r Gen9,6.7,label3,#0050EF,entity
1312,131,PhysicalLocation,VC1C3_West,"","",label1,#FA6800,entity
13121,1312,ESXiHost,"+ ESXi1220",ProLiant XL170r Gen9,6.7,label3,#0050EF,entity
132,13,Model,VC1C3_Synergy 480 Gen10,"","",label1,#343a40,entity
1321,132,PhysicalLocation,VC1C3_Nord,"","",label1,#FA6800,entity
13211,1321,ESXiHost,"o ESXi8218",Synergy 480 Gen10,6.7,label3,#0050EF,entity
1322,132,PhysicalLocation,VC1C3_West,"","",label1,#FA6800,entity
13221,1322,ESXiHost,"o ESXi1209",Synergy 480 Gen10,6.7,label3,#0050EF,entity
