## **********************************************************
## Configuration
## **********************************************************
## labels: %name%
# labels: {"label1" : "%name%", "label2" : "%type%: %name%", "label3" : "%name% - %version% - %model%"}
# labelname: labeltype
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#034f84;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from": "refs", "to": "id", "style": "curved=0;endArrow=none;endFill=0;fontSize=11;"}
# width: auto
# height: auto
# padding: 40
# ignore: refs,labeltype
# nodespacing: 60
# levelspacing: 100
# edgespacing: 40
# layout: smart
## **********************************************************
## CSV Data
## **********************************************************
id,refs,type,name,model,version,labeltype
2,"",vCenterServer,vCSA020,Appliance,"",label1
21,2,Cluster,Oracle,"","",label2
211,21,Model,ProLiant DL380 Gen10,"","",label1
2111,211,PhysicalLocation,Nord,"","",label2
21111,2111,ESXiHost,"+ ESXi8901",ProLiant DL380 Gen10,6.7,label3
21112,2111,ESXiHost,"+ ESXi8903",ProLiant DL380 Gen10,6.7,label3
2112,211,PhysicalLocation,Ost,"","",label2
21121,2112,ESXiHost,"+ ESXi7902",ProLiant DL380 Gen10,6.7,label3
21122,2112,ESXiHost,"+ ESXi7903",ProLiant DL380 Gen10,6.7,label3
2113,211,PhysicalLocation,West,"","",label2
21131,2113,ESXiHost,"+ ESXi1204",ProLiant DL380 Gen10,6.7,label3
21132,2113,ESXiHost,"+ ESXi1902",ProLiant DL380 Gen10,6.7,label3
