HostName;Version;Manufacturer;Model;vCenterServer;Cluster;ConnectionState;PhysicalLocation
esxi781.my.company.ch;7.0.3;HPE;ProLiant DL380 Gen10;vcsa00dmz.my.company.ch;vSAN;Maintenance;OST
esxi783.my.company.ch;7.0.3;HPE;ProLiant DL380 Gen10;vcsa00dmz.my.company.ch;vSAN;Maintenance;OST
esxi782.my.company.ch;7.0.3;HPE;ProLiant DL380 Gen10;vcsa00dmz.my.company.ch;vSAN;Maintenance;NORD
esxi982.my.company.ch;7.0.3;HPE;ProLiant DL380 Gen10;vcsa00dmz.my.company.ch;vSAN;Maintenance;NORD
esxi981.my.company.ch;7.0.3;HPE;ProLiant DL380 Gen10;vcsa00dmz.my.company.ch;vSAN;Maintenance;OST
esxi983.my.company.ch;7.0.3;HPE;ProLiant DL380 Gen10;vcsa00dmz.my.company.ch;vSAN;Maintenance;OST
esxi504.my.company.ch;6.7.0;HP;ProLiant BL460c Gen9;vcsa00dev.my.company.ch;host;Maintenance;NORD
esxi594.my.company.ch;6.7.0;HP;ProLiant BL460c G6;vcsa00dev.my.company.ch;host;Maintenance;NORD
esxi534.my.company.ch;6.5.0;HP;ProLiant XL170r Gen9;vcsa00dev.my.company.ch;host;Connected;NORD
esxi554.my.company.ch;6.7.0;HP;ProLiant DL380 G7;vcsa00dev.my.company.ch;host;Maintenance;NORD
esxi552.my.company.ch;6.7.0;HP;ProLiant DL380 G7;vcsa00dev.my.company.ch;Integration;Connected;NORD
esxi553.my.company.ch;6.7.0;HP;ProLiant DL380 G7;vcsa00dev.my.company.ch;Integration;Connected;OST
esxi551.my.company.ch;6.7.0;HP;ProLiant DL380 G7;vcsa00dev.my.company.ch;Integration;Connected;OST
esxi567.my.company.ch;6.5.0;HP;ProLiant DL380p Gen8;vcsa21dmz.my.company.ch;Airlock;Connected;OST
esxi558.my.company.ch;6.5.0;HP;ProLiant DL380p Gen8;vcsa21dmz.my.company.ch;Airlock;Connected;NORD
esxi557.my.company.ch;6.5.0;HP;ProLiant DL380p Gen8;vcsa21dmz.my.company.ch;Airlock;Connected;OST
esxi568.my.company.ch;6.5.0;HP;ProLiant DL380p Gen8;vcsa21dmz.my.company.ch;Airlock;Connected;NORD
esxi550.my.company.ch;6.0.0;VMware, Inc.;VMware Virtual Platform;vcsa21dmz.my.company.ch;host;Connected;NORD
esxi562.my.company.ch;6.5.0;Quanta Computer Inc;D51B-2U dual 1G LoM;vcsa21dmz.my.company.ch;Temp;Connected;NORD
esxi582.my.company.ch;6.5.0;Quanta Computer Inc;D51B-2U dual 1G LoM;vcsa21dmz.my.company.ch;Temp;Connected;NORD
esxi581.my.company.ch;6.5.0;Quanta Computer Inc.;D51B-2U dual 1G LoM;vcsa21dmz.my.company.ch;Temp;Connected;OST
