HostName;Version;Manufacturer;Model;vCenterServer;Cluster;PhysicalLocation;ConnectionState
ESXi7912.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA021.my.company.ch;Oracle;Ost;Connected
ESXi8911.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA021.my.company.ch;Oracle;Nord;Connected
ESXi7999.my.company.ch;7.0.3;HP;ProLiant DL380 Gen9;vCSA100.my.company.ch;Windows;Ost;Connected
ESXi8998.my.company.ch;7.0.3;HP;ProLiant DL380 Gen9;vCSA100.my.company.ch;Windows;Nord;Connected
ESXi8052.my.company.ch;7.0.3;HPE;Synergy 480 Gen10;vCSA100.my.company.ch;Linux;Nord;Connected
ESXi8052.my.company.ch;7.0.3;HPE;Synergy 480 Gen10;vCSA100.my.company.ch;Linux;Nord;Connected
ESXi7051.my.company.ch;7.0.3;HPE;Synergy 480 Gen10;vCSA100.my.company.ch;Linux;Ost;Connected
ESXi8051.my.company.ch;7.0.3;HPE;Synergy 480 Gen10;vCSA100.my.company.ch;Linux;Nord;Connected
ESXi8202.my.company.ch;6.5;HP;ProLiant XL170r Gen9;vCSA010.my.company.ch;Linux;Nord;Connected
ESXi1202.my.company.ch;6.5;HP;ProLiant XL170r Gen9;vCSA010.my.company.ch;Linux;West;Connected
ESXi1201.my.company.ch;6.5;HP;ProLiant XL170r Gen9;vCSA010.my.company.ch;Linux;West;Connected
ESXi8201.my.company.ch;6.5;HP;ProLiant XL170r Gen9;vCSA010.my.company.ch;Linux;Nord;Connected
ESXi1220.my.company.ch;6.7;HP;ProLiant XL170r Gen9;vCSA010.my.company.ch;Windows;West;Connected
ESXi1209.my.company.ch;6.7;HPE;Synergy 480 Gen10;vCSA010.my.company.ch;Windows;West;New
ESXi8220.my.company.ch;6.7;HP;ProLiant XL170r Gen9;vCSA010.my.company.ch;Windows;Nord;Connected
ESXi8218.my.company.ch;6.7;HPE;Synergy 480 Gen10;vCSA010.my.company.ch;Windows;Nord;New
ESXi1994.my.company.ch;6.7;Huawei;XH620 V3;vCSA010.my.company.ch;Transfer;West;Connected
ESXi8901.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.company.ch;Oracle;Nord;Connected
ESXi7902.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.company.ch;Oracle;Ost;Connected
ESXi7903.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.company.ch;Oracle;Ost;Connected
ESXi1902.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.company.ch;Oracle;West;Connected
ESXi8903.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.company.ch;Oracle;Nord;Connected
ESXi8901.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.company.ch;Oracle;Nord;Connected
ESXi1204.my.company.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.company.ch;Oracle;West;Connected
