HostName;Version;Manufacturer;Model;vCenterServer;Cluster;PhysicalLocation;ConnectionState
ESXi7912.my.classic.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA021.my.classic.ch;Oracle;Ost;Connected
ESXi8911.my.classic.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA021.my.classic.ch;Oracle;Nord;Connected
ESXi7999.my.classic.ch;7.0.3;HP;ProLiant DL380 Gen9;vCSA100.my.classic.ch;Windows;Ost;Connected
ESXi8998.my.classic.ch;7.0.3;HP;ProLiant DL380 Gen9;vCSA100.my.classic.ch;Windows;Nord;Connected
ESXi8053.my.classic.ch;7.0.3;HPE;Synergy 480 Gen10;vCSA100.my.classic.ch;Linux;Nord;Connected
ESXi8052.my.classic.ch;7.0.3;HPE;Synergy 480 Gen10;vCSA100.my.classic.ch;Linux;Nord;Connected
ESXi7051.my.classic.ch;7.0.3;HPE;Synergy 480 Gen10;vCSA100.my.classic.ch;Linux;Ost;Connected
ESXi8051.my.classic.ch;7.0.3;HPE;Synergy 480 Gen10;vCSA100.my.classic.ch;Linux;Nord;Connected
ESXi8202.my.classic.ch;6.5;HP;ProLiant XL170r Gen9;vCSA010.my.classic.ch;Linux;Nord;Connected
ESXi1202.my.classic.ch;6.5;HP;ProLiant XL170r Gen9;vCSA010.my.classic.ch;Linux;West;Connected
ESXi1201.my.classic.ch;6.5;HP;ProLiant XL170r Gen9;vCSA010.my.classic.ch;Linux;West;Connected
ESXi8201.my.classic.ch;6.5;HP;ProLiant XL170r Gen9;vCSA010.my.classic.ch;Linux;Nord;Connected
ESXi1220.my.classic.ch;6.7;HP;ProLiant XL170r Gen9;vCSA010.my.classic.ch;Windows;West;Connected
ESXi1209.my.classic.ch;6.7;HPE;Synergy 480 Gen10;vCSA010.my.classic.ch;Windows;West;New
ESXi8220.my.classic.ch;6.7;HP;ProLiant XL170r Gen9;vCSA010.my.classic.ch;Windows;Nord;Connected
ESXi8218.my.classic.ch;6.7;HPE;Synergy 480 Gen10;vCSA010.my.classic.ch;Windows;Nord;New
ESXi8901.my.classic.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.classic.ch;Oracle;Nord;Connected
ESXi7902.my.classic.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.classic.ch;Oracle;Ost;Connected
ESXi7903.my.classic.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.classic.ch;Oracle;Ost;Connected
ESXi1902.my.classic.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.classic.ch;Oracle;West;Connected
ESXi8903.my.classic.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.classic.ch;Oracle;Nord;Connected
ESXi1204.my.classic.ch;6.7;HPE;ProLiant DL380 Gen10;vCSA020.my.classic.ch;Oracle;West;Connected
