"vCenterServer";"NetworkName";"NetworkType";"NetworkFolder";"VDSwitch";"NetworkStatus"
"VCSA10PRD.tinu.cloud.ch";"TN-Prod|AP-Prod-MGMT|EP-Prod-Fabric_Hosts_ESX";"Distributed";"DS-Prod";"DS-Prod";"green"
"VCSA10PRD.tinu.cloud.ch";"TN-Prod|AP-Prod-MGMT|EP-Prod-vMotion";"Distributed";"DS-Prod";"DS-Prod";"green"
"VCSA10PRD.tinu.cloud.ch";"TN-Prod|AP-Prod-SHARED|EP-Prod-Backup";"Distributed";"DS-Prod";"DS-Prod";"green"
"VCSA10PRD.tinu.cloud.ch";"TN-Prod|AP-Prod-SHARED|EP-Prod-Config";"Distributed";"DS-Prod";"DS-Prod";"green"
"VCSA10PRD.tinu.cloud.ch";"TN-Prod|AP-Prod-SHARED|EP-Prod-WorkplaceMgmt";"Distributed";"DS-Prod";"DS-Prod";"green"
"VCSA00INT.tinu.cloud.ch";"TN-Int|AP-Int-MGMT|EP-Int-Fabric_Hosts_ESX";"Distributed";"DS-Int";"DS-Int";"green"
"VCSA00INT.tinu.cloud.ch";"TN-Int|AP-Int-MGMT|EP-Int-vMotion";"Distributed";"DS-Int";"DS-Int";"green"
"VCSA00INT.tinu.cloud.ch";"TN-Int|AP-Int-SHARED|EP-Int-Backup";"Distributed";"DS-Int";"DS-Int";"green"
"VCSA00INT.tinu.cloud.ch";"TN-Int|AP-Int-SHARED|EP-Int-Config";"Distributed";"DS-Int";"DS-Int";"green"
"VCSA00INT.tinu.cloud.ch";"TN-Int|AP-Int-SHARED|EP-Int-WorkplaceMgmt";"Distributed";"DS-Int";"DS-Int";"green"
"VCSA00DEV.tinu.cloud.ch";"TN-Test|AP-Test-MGMT|EP-Test-Fabric_Hosts_ESX";"Distributed";"DS-Test";"DS-Test";"green"
"VCSA00DEV.tinu.cloud.ch";"TN-Test|AP-Test-MGMT|EP-Test-vMotion";"Distributed";"DS-Test";"DS-Test";"green"
"VCSA00DEV.tinu.cloud.ch";"TN-Test|AP-Test-SHARED|EP-Test-Backup";"Distributed";"DS-Test";"DS-Test";"green"
"VCSA00DEV.tinu.cloud.ch";"TN-Test|AP-Test-SHARED|EP-Test-Config";"Distributed";"DS-Test";"DS-Test";"green"
"VCSA00DEV.tinu.cloud.ch";"TN-Test|AP-Test-SHARED|EP-Test-WorkplaceMgmt";"Distributed";"DS-Test";"DS-Test";"green"
